hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-4	CpDrDuGdD	0.039869	0.5177	0.15318	dwpc	1
rephetio-v2.0_perm-5	CpDrDuGdD	0.046777	0.52277	0.15925	dwpc	1
rephetio-v2.0	CpDrDuGuD	0.054305	0.51727	0.26157	dwpc	0
rephetio-v2.0_perm-1	CpDrDuGuD	0.057388	0.51961	0.14214	dwpc	1
rephetio-v2.0_perm-2	CpDrDuGuD	0.052684	0.52753	0.1632	dwpc	1
rephetio-v2.0_perm-3	CpDrDuGuD	0.056226	0.5242	0.15464	dwpc	1
rephetio-v2.0_perm-4	CpDrDuGuD	0.043286	0.52034	0.1564	dwpc	1
rephetio-v2.0_perm-5	CpDrDuGuD	0.052054	0.52353	0.15589	dwpc	1
rephetio-v2.0	CpDtCbGaD	0.074437	0.52037	0.25398	dwpc	0
rephetio-v2.0_perm-1	CpDtCbGaD	0.089365	0.52306	0.13737	dwpc	1
rephetio-v2.0_perm-2	CpDtCbGaD	0.080811	0.52134	0.1383	dwpc	1
rephetio-v2.0_perm-3	CpDtCbGaD	0.087179	0.52236	0.13777	dwpc	1
rephetio-v2.0_perm-4	CpDtCbGaD	0.086715	0.51259	0.12838	dwpc	1
rephetio-v2.0_perm-5	CpDtCbGaD	0.086281	0.52734	0.14535	dwpc	1
rephetio-v2.0	CpDtCbGdD	0.028079	0.51165	0.28265	dwpc	0
rephetio-v2.0_perm-1	CpDtCbGdD	0.02955	0.51011	0.14179	dwpc	1
rephetio-v2.0_perm-2	CpDtCbGdD	0.026985	0.50638	0.13096	dwpc	1
rephetio-v2.0_perm-3	CpDtCbGdD	0.030101	0.51427	0.15529	dwpc	1
rephetio-v2.0_perm-4	CpDtCbGdD	0.028051	0.50504	0.12486	dwpc	1
rephetio-v2.0_perm-5	CpDtCbGdD	0.029236	0.51112	0.14687	dwpc	1
rephetio-v2.0	CpDtCbGuD	0.027815	0.50511	0.23249	dwpc	0
